0,1.11022e-16,-6.93889e-18,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,6.66134e-19,-0.0015,0
-0.000976322,-0.00373004,0.169564,0.0224609,-0.0158141,-0.00646305,0.0771537,0.0530423,0.0033454,0.0016642,0.0262355,-0.0022536,0.0175811,0.00730274,0.375398,0.598478,-5.85793e-06,-2.23802e-05,-0.00348262,-3.87783e-05
-0.000882368,-0.00375568,0.169871,0.0224102,-0.0148011,-0.00625913,0.0788534,0.0589823,0.0111129,-0.00380228,0.0168206,-0.00607405,0.132409,0.0268743,-0.0208865,0.427418,-1.70101e-05,-6.72945e-05,-0.00444601,-0.000115111
-0.000679138,-0.00382331,0.170188,0.022287,-0.0121632,-0.00585154,0.0748398,0.0621113,0.0204223,-0.00654586,0.0178593,-0.0120401,0.269307,0.0446387,-0.475181,0.157554,-2.63791e-05,-0.000112768,-0.00540566,-0.000187775
-0.000370796,-0.00392315,0.170524,0.0221157,-0.0080959,-0.00535989,0.0685702,0.0616591,0.029557,-0.00942599,0.0289111,-0.0187761,0.387874,0.0506938,-0.526792,-0.184935,-3.26787e-05,-0.000159247,-0.00636139,-0.000255044
3.77289e-05,-0.0040527,0.170876,0.0218258,-0.00279005,-0.00485734,0.0624296,0.0571663,0.0375829,-0.0119464,0.0298182,-0.0250763,0.480914,0.0521475,-0.466008,-0.474951,-3.46771e-05,-0.000207102,-0.00731299,-0.000316347
0.000537299,-0.00421177,0.17122,0.02146,0.00350211,-0.00432325,0.0563103,0.0512352,0.0450729,-0.014399,0.0307385,-0.0308052,0.555981,0.0580799,-0.493894,-0.505772,-3.12269e-05,-0.000256689,-0.00826041,-0.000371431
0.00112422,-0.00440001,0.171566,0.0210245,0.0105736,-0.00373836,0.0500134,0.0453655,0.0523654,-0.0168581,0.0316626,-0.0359695,0.615194,0.0639656,-0.522133,-0.474693,-2.12578e-05,-0.00030836,-0.00920369,-0.000419801
0.00180063,-0.00461761,0.171951,0.020522,0.0183198,-0.00311579,0.0439092,0.0394943,0.059525,-0.0192232,0.032577,-0.0409724,0.662036,0.0672248,-0.455209,-0.455632,-3.70875e-06,-0.000362466,-0.0101426,-0.000460925
0.00256641,-0.00486325,0.172338,0.0199598,0.026622,-0.00245789,0.0376856,0.0336253,0.0672341,-0.0215226,0.0334285,-0.0454397,0.706076,0.0716855,-0.510169,-0.459141,2.24934e-05,-0.000419351,-0.0110769,-0.000494368
0.00342062,-0.00513545,0.172695,0.019343,0.0353286,-0.001779,0.0317834,0.0277979,0.0745194,-0.0236478,0.0243797,-0.0491743,0.740424,0.0732924,-0.504145,-0.518818,5.84156e-05,-0.000479343,-0.0120067,-0.000519789
0.00436993,-0.00544176,0.173038,0.0190556,0.0444026,-0.00110811,0.0254099,0.0218915,0.0830302,-0.0266057,0.0303005,-0.0188689,0.768121,0.0727246,-0.562213,-0.502064,0.000105159,-0.000542806,-0.0129323,-0.000537112
